#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
364,ZONA LESTE,Nordeste,Andiroba,791,"0,022",
365,ZONA OESTE,Noroeste,Marmiteiros,785,"0,03",
366,ZONA OESTE,Oeste,Guaratã,766,"0,101",
367,ZONA LESTE,Leste,Vila União,760,"0,014",
368,ZONA NORTE,Venda Nova,Vila Mantiqueira,711,"0,04",
369,ZONA OESTE,Noroeste,Conjunto Novo Dom Bosco,704,"0,022",
370,ZONA SUL,Oeste,Vila Nova Paraíso,704,"0,03",
371,ZONA NORTE,Pampulha,Vila Paquetá,703,"0,012",
372,ZONA NORTE,Nordeste,Vila Inestan,701,"0,021",
373,ZONA LESTE,Nordeste,Vila São Gabriel Jacuí,699,"0,035",
374,ZONA NORTE,Nordeste,Vila Nova Cachoeirinha IV,698,"0,019",
375,ZONA NORTE,Pampulha,Vila Real II,683,"0,019",
376,ZONA LESTE,Leste,Vila Nossa Senhora do Rosário,673,"0,028",
377,ZONA OESTE,Pampulha,Vila Santo Antônio Barroquinha,667,"0,032",
